Price,Close,High,Low,Open,Volume
Ticker,WPM,WPM,WPM,WPM,WPM
Date,,,,,
2015-01-02,18.088857650756836,18.11489786890377,17.281629099302336,17.351068025472905,3615200
2015-01-05,18.27981185913086,18.41000962148641,17.750340738144367,18.25377329999237,4695400
2015-01-06,18.922122955322266,19.06100079438282,18.33189296709212,18.38397174285122,6312100
2015-01-07,18.557571411132812,19.043645587143576,18.323216052063202,18.58361163127598,5008200
2015-01-08,18.30585289001465,18.956843386372054,18.166975049902756,18.618328858043625,4288600
2015-01-09,18.8353271484375,18.930804636184988,18.40133345059843,18.436052085537177,4048700
2015-01-12,19.729360580444336,19.87691855983074,18.81797413194638,18.904773235506944,6027500
2015-01-13,19.521039962768555,20.145990407953025,19.165165196760814,20.041832828199723,6719800
2015-01-14,19.390838623046875,19.764073469446757,19.026283849302175,19.60783547276266,5842100
2015-01-15,19.79011344909668,20.128629684672745,19.703316027438163,19.98975182335348,7318000
2015-01-16,20.2327880859375,20.527903967280533,19.911633639246695,19.972392499131185,7469700
2015-01-20,20.64073944091797,20.935855267528527,20.41506253494787,20.4324226789966,5908200
2015-01-21,20.3195858001709,21.02265516170822,19.937670863725774,20.99661659811162,6066200
2015-01-22,20.449783325195312,20.953215966845598,20.42374476192929,20.501863762836628,4735100
2015-01-23,20.00710678100586,20.432422018682523,19.85087045627976,20.293542526335315,3894100
2015-01-26,20.371660232543945,20.397700446134305,19.460274279087326,19.651230878753715,3732200
2015-01-27,20.83169937133789,20.89245822961554,20.362985340816522,20.449784419308042,4427900
2015-01-28,19.876911163330078,20.770938782878822,19.668594385635675,20.65809949357274,5346900
2015-01-29,19.312715530395508,19.60783131588859,18.92212062149166,19.0957187266832,5684400
2015-01-30,19.93766212463379,20.172019027607607,19.17383424209984,19.30403196967843,4942600
2015-02-02,20.093908309936523,20.26750645501839,19.5991557486742,19.668594675596026,4151700
2015-02-03,19.642560958862305,20.03315608680633,19.3734852349204,19.998437439630834,4461100
2015-02-04,20.06787109375,20.250147668318778,19.53839820571831,19.807473858652816,3796500
2015-02-05,20.25014877319336,20.284869068655922,19.790114791643255,19.928992662383887,3109500
2015-02-06,19.38215446472168,19.98974617807014,19.217236430146375,19.642549967268604,4870500
2015-02-09,19.53839874267578,19.694636756916907,19.38216072843466,19.581797455273975,2491500
2015-02-10,19.24327850341797,19.36479619561654,18.939482617367148,19.286677206187633,3115600
2015-02-11,19.13043975830078,19.373475128411084,18.90476287494529,19.26931758566504,2639900
2015-02-12,19.46027374267578,19.60783163784519,19.19987823616706,19.434233529803205,3531900
2015-02-13,19.755393981933594,20.067869984557124,19.703315200014547,19.738033836109036,2770000
2015-02-17,18.896081924438477,19.477633420295955,18.861361641436016,19.277995104140242,4380100
2015-02-18,19.347444534301758,19.408203401838914,18.67909368028309,18.93948929988661,3980900
2015-02-19,18.844005584716797,19.425557206636196,18.748528096871976,19.425557206636196,3262100
2015-02-20,18.592287063598633,19.19987880416599,18.548888363081378,18.826644019722124,3017200
2015-02-23,18.392654418945312,18.53153227766953,18.166977484629797,18.418692982734438,3958400
2015-02-24,18.349252700805664,18.62700839778007,18.175656217973934,18.193014707368928,2776100
2015-02-25,18.557571411132812,18.687770856293916,18.34925461665165,18.5054926264012,2773700
2015-02-26,18.60965347290039,18.87004907480174,18.53153446121901,18.791930063120365,2283400
2015-02-27,18.739845275878906,18.948162021836023,18.60096744524083,18.71380506180139,2405300
2015-03-02,18.401330947875977,18.774564086589162,18.288491674674265,18.68776668327012,2760800
